event_id,timestamp,project_id,stage_id,event_type,status_after,pct_complete,planned_end_date,actual_date,stage_owner,blocker_flag,blocker_reason,blocker_owner,expected_unblock_date,comment,submitted_by,source
BF-0001,2026-07-27T00:00:00Z,RAF-NPI-001,legal,Completed,Complete,100,2026-06-02,2026-06-02,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0002,2026-07-27T00:00:00Z,RAF-NPI-001,documentation,Completed,Complete,100,2026-07-01,2026-07-01,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0003,2026-07-27T00:00:00Z,RAF-NPI-001,pid_prep,Completed,Complete,100,2026-05-13,2026-05-13,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0004,2026-07-27T00:00:00Z,RAF-NPI-001,npi_kickoff,Completed,Complete,100,2026-06-08,2026-06-08,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0005,2026-07-27T00:00:00Z,RAF-NPI-001,pid_creation,Completed,Complete,100,2026-06-24,2026-06-24,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0006,2026-07-27T00:00:00Z,RAF-NPI-001,pid_setups,Completed,Complete,100,2026-07-22,2026-07-22,BU OPS + CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0007,2026-07-27T00:00:00Z,RAF-NPI-001,supply_chain,Completed,Complete,100,2026-07-15,2026-07-15,CE/NPPN,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0008,2026-07-27T00:00:00Z,RAF-NPI-001,ccw,Completed,Complete,100,2026-07-10,2026-07-10,CE/PDT,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0009,2026-07-27T00:00:00Z,RAF-NPI-001,fulfillment,Completed,Complete,100,2026-07-17,2026-07-17,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0010,2026-07-27T00:00:00Z,RAF-NPI-001,orr,Completed,Complete,100,2026-07-21,2026-07-21,CE / Offer team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0011,2026-07-27T00:00:00Z,RAF-NPI-001,orderable,Completed,Complete,100,2026-07-23,2026-07-23,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0012,2026-07-27T00:00:00Z,RAF-NPI-001,post_orderable,Completed,Complete,100,2026-07-27,2026-07-27,"CE, BU OPS",false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0013,2026-07-27T00:00:00Z,QUA-NPI-001,legal,Completed,Complete,100,2026-06-18,2026-06-18,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0014,2026-07-27T00:00:00Z,QUA-NPI-001,documentation,Completed,Complete,100,2026-07-01,2026-07-01,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0015,2026-07-27T00:00:00Z,QUA-NPI-001,pid_prep,Completed,Complete,100,2026-05-13,2026-05-13,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0016,2026-07-27T00:00:00Z,QUA-NPI-001,npi_kickoff,Completed,Complete,100,2026-06-08,2026-06-08,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0017,2026-07-27T00:00:00Z,QUA-NPI-001,pid_creation,Completed,Complete,100,2026-06-24,2026-06-24,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0018,2026-07-27T00:00:00Z,QUA-NPI-001,pid_setups,Blocked,Blocked,70,2026-07-22,2026-07-22,BU OPS + CE,true,Vendor response,Export,,"CMT case for export classification blocked on vendor input; export template submitted, review pending.",system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Corrected from the raw sheet's 'Complete' to 'Blocked' per analyst confirmation (handoff chat: 'PID setups is not complete as per the mock') -- the source workbook row was stale, not the dashboard."
BF-0019,2026-07-27T00:00:00Z,QUA-NPI-001,supply_chain,Completed,Complete,100,2026-07-15,2026-07-15,CE/NPPN,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0020,2026-07-27T00:00:00Z,QUA-NPI-001,ccw,Completed,Complete,100,2026-07-10,2026-07-10,CE/PDT,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0021,2026-07-27T00:00:00Z,QUA-NPI-001,fulfillment,Completed,Complete,100,2026-07-17,2026-07-17,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0022,2026-07-27T00:00:00Z,QUA-NPI-001,orr,Completed,Complete,100,2026-07-21,2026-07-21,CE / Offer team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0023,2026-07-27T00:00:00Z,QUA-NPI-001,orderable,Completed,Complete,100,2026-07-23,2026-07-23,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0024,2026-07-27T00:00:00Z,QUA-NPI-001,post_orderable,Completed,Complete,100,2026-07-27,2026-07-27,"CE, BU OPS",false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0025,2026-07-27T00:00:00Z,COHE-NPI-001,legal,Completed,Complete,100,2025-09-23,2025-09-23,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0026,2026-07-27T00:00:00Z,COHE-NPI-001,documentation,Completed,Complete,100,2025-10-10,2025-10-10,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0027,2026-07-27T00:00:00Z,COHE-NPI-001,pid_prep,Completed,Complete,100,2025-10-28,2025-10-28,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0028,2026-07-27T00:00:00Z,COHE-NPI-001,npi_kickoff,Completed,Complete,100,2025-11-14,2025-11-14,BU OPS + CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0029,2026-07-27T00:00:00Z,COHE-NPI-001,pid_creation,Completed,Complete,100,2025-12-02,2025-12-02,CE/NPPN,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0030,2026-07-27T00:00:00Z,COHE-NPI-001,pid_setups,Completed,Complete,100,2025-12-19,2025-12-19,CE/PDT,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0031,2026-07-27T00:00:00Z,COHE-NPI-001,supply_chain,Completed,Complete,100,2026-01-06,2026-01-06,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
