project_id,stage_id,activity_name,task_group,owner,owner_source,status,progress,target_date,actual_date,source_detail
RAF-NPI-001,legal,Agreement Executed/Signed,,S+ Team,Parent milestone,,,,,
RAF-NPI-001,legal,ECLM/CDP Assigned,,S+ Team,Parent milestone,,,,,212533
RAF-NPI-001,legal,Vendor Onboarded into Cisco Supply Chain Systems,,S+ Team,Parent milestone,,,,,
RAF-NPI-001,legal,Price List Transmitted,,S+ Team,Parent milestone,,,,,
RAF-NPI-001,documentation,BUPM,,BUPM,Parent milestone,,,,,
RAF-NPI-001,documentation,Cisco Business Case with 3-year Forecast,,BUPM,Parent milestone,,,2026-06-23,,
RAF-NPI-001,documentation,BUPM:  Orderability Date,,BUPM,Parent milestone,,,2026-06-17,,
RAF-NPI-001,documentation,Vendor,,BUPM,Parent milestone,,,,,
RAF-NPI-001,documentation,Send to Vendor: SolutionsPlus Vendor User Guide,,BUPM,Parent milestone,,,,,
RAF-NPI-001,documentation,Template: S+ Provisioning-CustSupport,,BUPM,Parent milestone,,,2026-07-01,,
RAF-NPI-001,documentation,Export Template Completed by Vendor,,BUPM,Parent milestone,,,2026-06-08,,
RAF-NPI-001,pid_prep,PF Created,,BU OPS,Parent milestone,,,,,
RAF-NPI-001,pid_prep,Product Hierarchy: PF-PT-PSG,,BU OPS,Parent milestone,,,2026-05-13,,
RAF-NPI-001,pid_prep,Pricing Ops:  Uplifts = 20%,,BU OPS,Parent milestone,,,,,
RAF-NPI-001,pid_creation,Created,eGenie Template,BU OPS,Parent milestone,,,,,
RAF-NPI-001,pid_creation,Reviewed + Uploaded,eGenie Template,BU OPS,Parent milestone,,,,,
RAF-NPI-001,pid_creation,BUC Approved Pricing,,BU OPS,Parent milestone,,,2026-06-24,,
RAF-NPI-001,pid_setups,CPDM Created,Rev Rec Setup,BU OPS + CE,Parent milestone,,,,,
RAF-NPI-001,pid_setups,RCL Created,Rev Rec Setup,BU OPS + CE,Parent milestone,,,,,
RAF-NPI-001,pid_setups,PID List Submitted into CPDM,Rev Rec Setup,BU OPS + CE,Parent milestone,,,,,
RAF-NPI-001,pid_setups,OA Setup,Rev Rec Setup,BU OPS + CE,Parent milestone,,,,,
RAF-NPI-001,pid_setups,Tax Classification,Classification,BU OPS + CE,Parent milestone,,,,,
RAF-NPI-001,pid_setups,Export Classification,Classification,Gracieli,Task row,,,2026-07-22,,
RAF-NPI-001,pid_setups,CMT Case Created & EPR assigned,Classification,BU OPS + CE,Parent milestone,,,,,CMT-2026-68343
RAF-NPI-001,pid_setups,Export Template Completed by Vendor,Classification,BU OPS + CE,Parent milestone,,,,,
