project_id,offer,vendor,project_type,portfolio,entry_date,target_orderability_date,project_status,bu_ops,bupm,buc,ce,s_plus,revrec,export,tax,renewals,notes,source
RAF-NPI-001,Rafay,Rafay,New NPI,S+ Projects,2026-05-13,2026-07-27,Active,Albert,Ramya,Juan,Zahida,Maristela/Kelly,Scott Frey,Gracieli,Merci,Jincy,POC set from Offers sheet (published).,seed:pocs-sheet
QUA-NPI-001,Quali,Quali,New NPI,S+ Projects,2026-05-13,2026-07-27,Active,Albert,Carlos/Pablo,Juan,Zahida,Maristela/Kelly,Scott Frey,Gracieli,Merci,Jincy,POC set from Offers sheet (published).,seed:pocs-sheet
COHE-NPI-001,Cohesity,Cohesity,New NPI,S+ Projects,2025-09-23,2026-04-03,Active,Albert,Bill,Juan,Jason,Maristela,Scott Frey,Gracieli,Merci,Jincy,"POC backfilled from Project Status sheet, column N: Cohesity.",seed:project-status-backfill
RUBR-NPI-002,Rubrik,Rubrik,New NPI,S+ Projects,2025-11-02,2026-03-29,Active,Albert,Bill,Juan/Tim,Jason,Maristela,Scott Frey,Gracieli,Merci,Jincy,"POC backfilled from Project Status sheet, column O: Rubrik.",seed:project-status-backfill
DDN-SUS-003,DDN,DDN,Sustaining Change,S+ Projects,2025-08-20,2025-11-15,Active,Albert,Rohit,Juan/Tim,Jason,Maristela/Kelly,Scott Frey,Gracieli,Merci,Jincy,"POC backfilled from Project Status sheet, column P: DDN.",seed:project-status-backfill
VAST-NPI-004,VAST Data,VAST Data,New NPI,EA: 3rd Party SW,2026-01-30,2026-07-14,Active,Albert,,,,,,,,,Only BU Ops POC known (no matching Excel column for this offer name); remaining POC roles unconfirmed -- please confirm at next update.,seed:project-status-backfill
VAST-SUS-005,VAST Data EA,VAST Data EA,Sustaining Change,EA: 3rd Party SW,2025-11-09,2026-01-12,Active,Albert,Umar,Juan/Tim,Jason,N/A,Scott Frey,Gracieli,Merci,Jincy,"POC backfilled from Project Status sheet, column W: EA: VastDATA.",seed:project-status-backfill
QUMU-NPI-006,Qumulo,Qumulo,New NPI,EA: 3rd Party SW,2026-02-27,2026-08-29,Active,Albert,Rohit,Juan/Tim,Jason,N/A,Scott Frey,Gracieli,Merci,Jincy,"POC backfilled from Project Status sheet, column X: EA: Qumulo.",seed:project-status-backfill
NVID-NPI-007,NVIDIA,NVIDIA,New NPI,EA: 3rd Party SW,2025-12-21,2026-07-29,Active,Albert,Vaibhav,Juan/Tim,Jason,N/A,Scott Frey,Gracieli,Merci,Jincy,"POC backfilled from Project Status sheet, column Y: EA: NVIDIA.",seed:project-status-backfill
REDH-SUS-008,Red Hat,Red Hat,Sustaining Change,Not S+,2026-03-31,2026-07-10,Active,Riya,Ramya,Juan/Tim,Jason,N/A,Scott Frey,Gracieli,Merci,Jincy,"POC backfilled from Project Status sheet, column V: Migrate to SBP: Red Hat.",seed:project-status-backfill
